Date,badenwuerttemberg,bayern,berlin,brandenburg,bremen,hamburg,hessen,mecklenburg - vorpommern,niedersachsen,nordrhein westfalen,rheinland pfalz,saarland,sachsen,sachsenanhalt,schleswigholstein,thueringen
200218,14,21,15,60,0,31,21,22,31,16,25,25,5,8,27,31
200219,18,25,18,60,0,31,21,22,33,16,27,25,9,25,27,31
200220,19,27,21,69,0,36,23,33,37,20,30,25,9,25,32,31
200221,22,29,24,83,0,36,25,33,40,24,33,25,13,25,38,31
200222,29,34,31,83,13,42,30,33,51,24,37,40,18,34,44,48
200223,40,43,42,100,25,48,37,43,63,43,51,40,35,42,55,48
200224,52,53,63,122,25,53,53,43,74,52,63,53,43,42,71,72
200225,68,63,74,149,25,64,66,53,88,65,78,65,51,76,71,72
200226,88,80,102,166,45,86,94,63,110,77,111,77,75,76,88,82
200227,108,94,126,197,76,105,115,63,135,99,135,100,87,85,96,102
200228,129,112,150,216,87,149,142,63,161,112,165,113,100,111,128,112
200229,142,124,168,226,100,170,151,97,182,120,186,134,122,111,148,128
200301,170,140,197,239,112,193,174,107,200,138,207,147,130,119,167,148
200302,189,155,229,274,112,216,180,117,213,149,226,159,150,119,189,168
200303,206,173,254,291,132,233,202,117,230,160,246,170,162,127,208,183
200304,227,191,281,291,132,247,218,127,243,173,262,188,166,144,224,197
200305,248,216,309,305,153,264,238,138,262,186,281,213,183,153,230,213
200306,270,232,335,319,153,285,269,159,289,204,298,226,187,178,247,243
200307,294,258,353,333,166,292,300,170,305,214,322,247,200,187,253,254
200308,316,289,386,360,190,316,325,181,319,239,346,279,208,212,285,274
200309,349,324,420,373,200,343,362,200,343,278,374,291,224,236,306,312
200310,386,355,466,407,240,367,406,200,377,303,412,302,254,251,341,339
200311,430,393,512,443,240,387,452,231,429,337,453,359,293,292,378,367
200312,493,447,589,489,297,434,521,278,502,376,505,433,352,346,436,414
200313,552,516,668,583,316,481,613,325,572,472,579,487,431,383,508,450
200314,618,588,760,672,416,529,713,357,646,546,668,534,480,419,608,520
200315,701,649,857,748,485,629,808,426,728,597,759,610,580,452,669,618
200316,784,718,949,822,513,716,890,491,802,667,845,682,657,543,725,682
200317,845,795,1036,899,551,808,961,549,880,742,921,744,711,618,820,735
200318,915,873,1126,986,617,869,1036,577,956,816,999,796,762,666,872,815
200319,984,948,1202,1079,646,932,1117,625,1029,882,1089,839,820,705,934,852
200320,1067,1022,1272,1153,676,1014,1203,672,1107,967,1189,906,897,804,1004,941
200321,1167,1122,1372,1252,711,1106,1288,772,1190,1067,1289,968,955,836,1099,1015
200322,1243,1215,1459,1352,732,1195,1381,820,1290,1144,1388,1008,990,880,1166,1064
200323,1324,1296,1526,1425,758,1272,1461,864,1363,1211,1477,1083,1059,914,1213,1164
200324,1387,1363,1599,1514,815,1340,1534,901,1425,1275,1552,1175,1118,973,1268,1245
200325,1458,1441,1673,1577,853,1401,1619,958,1495,1327,1635,1247,1168,1056,1318,1313
200326,1539,1516,1737,1640,891,1456,1701,987,1563,1393,1721,1286,1209,1156,1365,1386
200327,1614,1588,1809,1703,911,1514,1794,1025,1636,1448,1802,1330,1258,1209,1420,1456
200328,1686,1661,1886,1784,1006,1590,1829,1048,1708,1523,1889,1356,1297,1244,1506,1533
200329,1766,1741,1970,1882,1060,1655,1909,1104,1768,1589,1970,1456,1365,1303,1568,1571
200330,1839,1803,2030,1947,1088,1719,1999,1149,1843,1653,2038,1504,1414,1337,1619,1637
200331,1894,1864,2102,2034,1106,1767,2073,1184,1909,1694,2113,1599,1456,1358,1660,1692
200401,1954,1926,2154,2083,1155,1820,2149,1238,1961,1752,2178,1638,1489,1395,1716,1737
200402,2018,1985,2238,2124,1203,1859,2231,1274,2024,1788,2239,1722,1537,1431,1754,1786
200403,2081,2047,2320,2166,1213,1897,2302,1311,2091,1829,2301,1792,1584,1461,1797,1834
200404,2156,2103,2373,2255,1260,1969,2379,1343,2158,1886,2365,1838,1635,1505,1835,1886
200405,2227,2164,2420,2304,1285,2009,2464,1419,2224,1942,2442,1903,1679,1582,1896,1938
200406,2293,2238,2491,2386,1315,2058,2537,1468,2273,1995,2507,1948,1740,1613,1946,1980
200407,2349,2291,2538,2420,1325,2096,2602,1499,2323,2043,2560,2017,1771,1669,1982,2019
200408,2387,2359,2586,2472,1356,2127,2669,1541,2381,2082,2611,2052,1807,1720,2029,2063
200409,2421,2393,2627,2515,1377,2166,2724,1581,2412,2129,2660,2081,1844,1764,2067,2088
200410,2486,2449,2675,2570,1423,2204,2789,1614,2454,2157,2720,2094,1867,1817,2097,2136
200411,2544,2492,2740,2634,1448,2233,2845,1664,2504,2193,2780,2129,1900,1856,2152,2170
200412,2597,2537,2789,2663,1448,2262,2901,1676,2548,2243,2829,2149,1924,1865,2191,2197
200413,2650,2583,2830,2707,1471,2291,2964,1696,2600,2308,2892,2167,1940,1903,2238,2233
200414,2696,2634,2872,2738,1509,2322,3029,1723,2641,2346,2951,2205,1972,1939,2280,2259
200415,2735,2681,2923,2772,1538,2365,3089,1732,2687,2377,2998,2249,2001,1996,2324,2290
200416,2774,2732,2960,2809,1548,2383,3153,1751,2726,2413,3050,2297,2024,2004,2341,2327
200417,2805,2769,3011,2855,1569,2404,3206,1781,2761,2447,3111,2321,2060,2020,2385,2366
200418,2839,2818,3057,2893,1581,2429,3267,1793,2791,2494,3158,2347,2088,2066,2416,2393
200419,2880,2864,3104,2923,1616,2467,3330,1825,2834,2530,3199,2371,2101,2066,2470,2431
200420,2921,2909,3150,2969,1616,2508,3382,1843,2872,2560,3246,2387,2141,2102,2503,2461
200421,2962,2945,3195,3003,1664,2542,3415,1862,2914,2593,3289,2441,2185,2131,2547,2500
200422,3002,2992,3242,3019,1683,2582,3461,1882,2953,2623,3329,2474,2212,2146,2605,2514
200423,3036,3029,3282,3062,1702,2595,3499,1882,2995,2664,3367,2497,2223,2154,2652,2550
200424,3066,3065,3321,3095,1722,2643,3548,1902,3032,2694,3408,2521,2251,2186,2665,2569
200425,3104,3103,3356,3109,1722,2677,3597,1914,3059,2723,3451,2534,2290,2195,2716,2585
200426,3143,3160,3398,3148,1743.385542,2730,3648,1937.552632,3101,2745,3486,2559,2334,2217.195853,2741,2616
200427,3182,3193,3448,3180,1743.385542,2765,3689,1943.205263,3138,2779,3523,2570,2364,2222.317972,2770,2652
200428,3222.659044,3232.854251,3486.289979,3215.262411,1763.060241,2795.963077,3739.625,1952.626316,3181.046358,2830.626794,3573.585635,2583.512894,2381.464789,2243.9447,2817.594937,2681.982709
200429,3257.948025,3277.040486,3525.513859,3240.106383,1795.566265,2829.061538,3791.857143,1965.344737,3214.986755,2860.808612,3620.959484,2612.040115,2416.394366,2264.43318,2860.126582,2703.636888
200430,3287.866944,3317.761134,3573.142857,3267.35461,1820.373494,2874.972308,3840.071429,1969.584211,3253.066225,2885.430622,3658.697974,2645.071633,2448.049296,2296.873272,2904.683544,2729.455331
200501,3317.785863,3361.947368,3607.697228,3297.007092,1828.927711,2894.190769,3891.5,1978.534211,3285.350993,2914.023923,3700.451197,2681.106017,2473.15493,2301.426267,2921.898734,2760.270893
200502,3341.567568,3394.004049,3655.326226,3333.87234,1846.891566,2916.612308,3934.089286,1992.665789,3314.324503,2941.028708,3749.430939,2699.123209,2512.450704,2310.532258,2966.455696,2792.752161
200503,3367.650728,3436.45749,3698.285714,3364.326241,1857.156627,2943.304615,3983.107143,1998.318421,3339.15894,2978.358852,3787.169429,2718.641834,2543.014085,2336.711982,2997.848101,2815.239193
200504,3399.10395,3476.311741,3742.179104,3388.368794,1887.096386,2983.876923,4033.732143,2013.392105,3374.754967,3006.952153,3820.090239,2736.659026,2557.204225,2336.711982,3052.531646,2846.887608
200505,3430.557173,3515.299595,3785.138593,3425.234043,1887.096386,3027.652308,4075.517857,2021.871053,3406.211921,3030.779904,3857.828729,2748.670487,2600.866197,2357.200461,3085.949367,2871.873199
200506,3462.010395,3546.489879,3827.164179,3452.48227,1928.156627,3063.953846,4102.035714,2030.821053,3440.980132,3056.990431,3892.355433,2789.209169,2648.894366,2373.705069,3130.506329,2904.354467
200507,3492.696466,3587.210526,3871.057569,3465.304965,1944.409639,3106.661538,4139,2040.242105,3473.264901,3080.818182,3924.473297,2813.982808,2678.366197,2382.241935,3189.240506,2916.014409
